w,r,g,b
410,0.051,-0.047, 0.996
430,0.045,-0.043, 0.998
450,0.021,-0.024, 1.003
460,0.000, 0.000, 1.000
470,-0.031,0.057, 0.974
480,-0.094,0.182, 0.912
490,-0.170,0.420, 0.750
500,-0.233,0.772, 0.461
510,-0.207,1.002, 0.205
520,-0.111,1.049, 0.062
530,0.000, 1.000, 0.000
540,0.123, 0.901,-0.024
550,0.232, 0.797,-0.029
560,0.354, 0.676,-0.030
570,0.480, 0.543,-0.023
580,0.604, 0.414,-0.018
590,0.720, 0.290,-0.010
600,0.811, 0.196,-0.007
610,0.881, 0.124,-0.005
620,0.929, 0.075,-0.004
630,0.966, 0.037,-0.003
640,0.988, 0.014,-0.002
650,1.000, 0.000, 0.000
680,1.011,-0.011, 0.000
700,1.015,-0.015, 0.000
